City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Iqaluit,CA,63.7506,-68.5145,-2.0,71,90,19.57,snow
226,Trairi,BR,-3.2778,-39.2689,79.79,85,100,9.24,overcast clouds
227,Khatanga,RU,71.9667,102.5,-41.53,100,52,0.6,broken clouds
228,Tambacounda,SN,13.7539,-13.7586,105.8,37,0,4.61,clear sky
229,Mindelo,CV,16.8901,-24.9804,73.4,60,75,26.46,broken clouds
230,Byron Bay,AU,-28.65,153.6167,64.4,88,75,13.8,broken clouds
231,Shahreza,IR,32.0339,51.8794,60.12,23,22,4.97,few clouds
232,Imbituba,BR,-28.24,-48.6703,78.8,50,75,14.97,broken clouds
233,Sola,VU,-13.8833,167.55,78.8,89,90,8.41,overcast clouds
234,Auki,SB,-8.7676,160.7034,77.36,86,100,3.24,heavy intensity rain
235,Ayan,RU,56.45,138.1667,14.41,80,2,8.63,clear sky
236,Newport,GB,51.5877,-2.9984,64.99,55,32,3.44,scattered clouds
237,Diebougou,BF,10.9667,-3.25,93.38,11,56,3.8,broken clouds
238,Brawley,US,32.9787,-115.5303,82.0,10,1,9.22,clear sky
239,Penzance,GB,50.1186,-5.5371,57.2,72,75,5.75,broken clouds
240,Shirokiy,RU,49.758,129.523,33.3,51,15,5.01,few clouds
241,Takoradi,GH,4.8845,-1.7554,81.14,81,36,8.52,scattered clouds
242,Port Hedland,AU,-20.3167,118.5667,75.2,50,0,8.05,clear sky
243,Talnakh,RU,69.4865,88.3972,-23.17,82,3,3.62,clear sky
244,Maniwaki,CA,46.3834,-75.966,42.8,93,100,9.22,overcast clouds
245,Aykhal,RU,66.0,111.5,-19.53,100,100,6.64,overcast clouds
246,Nara,JP,34.6851,135.8049,51.01,54,100,2.95,overcast clouds
247,Artyom,AZ,40.4723,50.333,48.2,81,0,2.3,clear sky
248,Mareeba,AU,-17.0,145.4333,75.99,78,75,14.97,light rain
249,Kashi,CN,39.4547,75.9797,46.4,27,9,6.71,clear sky
250,Rudbar,AF,30.15,62.6,62.76,15,0,10.18,clear sky
251,Paratinga,BR,-12.6906,-43.1842,96.24,26,81,8.05,broken clouds
252,Torbay,CA,47.6666,-52.7314,35.01,60,20,12.66,few clouds
253,Coihaique,CL,-45.5752,-72.0662,53.6,62,90,5.75,overcast clouds
254,Jiancheng,CN,30.391,104.5491,53.01,95,100,4.0,overcast clouds
255,Aripuana,BR,-9.1667,-60.6333,83.44,68,100,4.25,overcast clouds
256,Ponta Delgada,PT,37.7333,-25.6667,62.6,77,20,8.05,few clouds
257,Daru,PG,-9.0763,143.2092,77.54,87,78,7.52,moderate rain
258,Amparafaravola,MG,-17.5833,48.2167,65.62,98,21,3.33,few clouds
259,Teya,RU,60.3778,92.6267,-10.14,100,78,2.98,broken clouds
260,Flinders,AU,-34.5833,150.8552,60.01,85,75,1.01,broken clouds
261,Bathsheba,BB,13.2167,-59.5167,84.2,54,40,24.16,scattered clouds
262,Bambous Virieux,MU,-20.3428,57.7575,78.8,89,40,3.44,scattered clouds
263,Ojdula,RO,45.9833,26.25,50.0,59,100,4.0,overcast clouds
264,Dongsheng,CN,39.8161,109.9776,43.65,81,100,7.67,light rain
265,Misratah,LY,32.3754,15.0925,61.32,63,0,13.58,clear sky
