City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,La Palma,US,84.2,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
535,Viedma,AR,77.63,overcast clouds,-40.8135,-62.9967,Hotel Cristal
536,Isangel,VU,78.66,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
537,Villaviciosa,ES,71.6,clear sky,43.4813,-5.4357,Hotel Carlos I
538,Victoria,HK,79.0,broken clouds,22.2855,114.1577,Mini Hotel Central
540,Port Moresby,PG,77.0,broken clouds,-9.4431,147.1797,Lamana Hotel
542,Coyaima,CO,81.41,overcast clouds,3.7994,-75.1947,El Mirador del Triángulo
545,Port-Gentil,GA,78.8,broken clouds,-0.7193,8.7815,Fengshui Residence
546,Cabedelo,BR,86.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
549,Beoumi,CI,87.8,haze,7.6736,-5.5764,Domicile Mr Atte
553,Beihai,CN,75.4,clear sky,21.4833,109.1,21 Degree Hostel
556,San Juan,AR,82.85,clear sky,-31.5375,-68.5364,Hotel Provincial
557,Pitimbu,BR,86.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
559,Puli,TW,77.0,mist,23.9664,120.9695,小島好樂
560,Bajil,YE,84.87,overcast clouds,15.0584,43.2851,فندق الجلال
561,Baculin,PH,78.46,overcast clouds,7.4525,126.5842,Shovy's Cove
563,Ribas Do Rio Pardo,BR,85.87,overcast clouds,-20.4431,-53.7592,Pousada Avenida
565,Ambulu,ID,75.34,few clouds,-8.345,113.6058,Hotel Ambulu Jember
571,Kununurra,AU,80.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
572,Sawakin,SD,76.28,clear sky,19.1059,37.3321,فندق الدويم
574,Machado,BR,73.4,broken clouds,-21.6747,-45.9197,JC Palace Hotel
576,The Valley,AI,80.6,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
577,Soubre,CI,78.8,light rain,5.7856,-6.6083,Lynd Hotels Soubre
578,Samarai,PG,81.27,overcast clouds,-10.6167,150.6667,Nuli Sapi
